"","Countries","Population","Cumulative Cases","New Cases (Last 24hrs)","Cumulative Deaths","New Deaths (Last 24Hrs)","Critical Cases","Test Conducted (1M people)","Cumulative Tests"
"","Gibraltar","33,704","20,184","+18","110","0","0","598,861","534,283"
"","Greece","10,316,637","5,306,482","0","34,024","0","115","514,362","98,962,476"
"","Greenland","56,973","11,971","0","21","0","4","210,117","164,926"
"","Grenada","113,475","19,613","+9","237","0","4","172,840","182,981"
"","Guadeloupe","399,794","197,105","+835","993","0","19","493,016","938,039"
"","Guam","null","32","+3","1","0","0","190","null"
"","Guatemala","18,584,039","1,147,699","+629","19,936","+2","5","61,757","6,225,995"
"","Guinea","13,865,691","38,153","+31","464","+6","8","2,752","660,107"
"","Guinea-Bissau","2,063,367","8,848","0","176","0","6","4,288","145,231"
"","Guyana","794,045","71,522","+2","1,281","0","0","90,073","704,440"
"","Haiti","11,680,283","33,837","+5","860","0","0","2,897","132,422"
"","Honduras","10,221,247","457,508","+49","11,043","0","105","44,760","1,557,865"
"","Hong-Kong","7,604,299","2,028,945","+8,060","10,586","+9","12","266,816","66,284,763"
"","Hungary","9,606,259","2,157,995","+4,431","48,184","+73","10","224,645","11,394,556"
"","Iceland","345,393","207,003","+200","219","0","2","599,326","1,996,384"
"","India","1,406,631,776","44,669,527","+576","530,553","0","698","31,756","903,356,300"
"","Indonesia","279,134,505","6,603,195","+6,383","159,348","+25","2,771","23,656","111,724,301"
"","Iran","86,022,837","7,559,211","+47","144,620","+3","83","87,874","54,420,785"
"","Iraq","42,164,965","2,462,317","+460","25,361","0","21","58,397","19,424,126"
"","Ireland","5,020,199","1,675,725","0","8,061","0","7","333,797","12,822,657"
"","Isle-of-Man","85,732","38,008","0","116","0","0","443,335","150,753"
"","Israel","9,326,000","4,704,018","+2,073","11,810","0","36","504,398","41,373,364"
"","Italy","60,262,770","24,031,538","0","180,518","0","247","398,779","255,780,377"
"","Ivory-Coast","27,742,298","87,864","+4","829","0","0","3,167","1,649,487"
"","Jamaica","2,985,094","151,931","0","3,320","0","0","50,897","1,183,986"
"","Japan","125,584,838","23,694,063","+89,887","48,159","+101","261","188,670","79,720,829"
"","Jordan","10,300,869","1,746,997","0","14,122","0","59","169,597","17,201,885"
"","Kazakhstan","19,205,043","1,395,699","+94","13,693","0","24","72,674","11,575,012"
"","Kenya","56,215,221","340,888","+104","5,684","0","1","6,064","3,934,013"
"","Kiribati","123,419","3,430","0","13","0","3","27,792","null"
"","Kuwait","4,380,326","662,359","+286","2,569","+1","2","151,212","8,416,379"
"","Kyrgyzstan","6,728,271","206,483","+19","2,991","0","131","30,689","1,907,195"
"","Laos","7,481,023","216,460","+16","758","0","0","28,935","1,233,207"
"","Latvia","1,848,837","959,019","+450","6,083","0","3","518,715","7,746,372"
"","Lebanon","6,684,849","1,219,928","+94","10,725","+1","74","182,491","4,795,578"
"","Lesotho","2,175,699","34,490","0","706","0","0","15,852","431,221"
"","Liberia","5,305,117","8,014","+16","294","0","2","1,511","139,824"
"","Libya","7,040,745","507,070","+10","6,437","0","0","72,019","2,483,318"
"","Liechtenstein","38,387","20,815","+17","87","0","0","542,241","102,174"
"","Lithuania","2,661,708","1,272,774","+205","9,414","0","7","478,179","10,244,553"
"","Luxembourg","642,371","297,757","0","1,133","0","0","463,528","4,412,567"
"","Macao","667,490","796","+1","6","0","0","1,193","7,850"
"","Madagascar","29,178,077","66,859","+71","1,411","0","0","2,291","516,178"
"","Malawi","20,180,839","88,073","0","2,685","0","67","4,364","622,351"
"","Malaysia","33,181,072","4,963,216","+3,037","36,588","+5","106","149,580","66,054,632"
"","Maldives","540,985","185,549","+95","311","+2","25","342,984","2,213,831"
"","Mali","21,473,764","32,755","+5","742","0","0","1,525","775,201"
"","Malta","444,033","115,681","+8","808","0","4","260,523","2,086,430"
"","Marshall-Islands","60,057","15,389","0","17","0","22","256,240","null"
"","Martinique","374,087","223,877","+149","1,057","+10","8","598,462","828,928"
